x,y,z
2350.57729,1112.58953,7990.83268
3357.70992,708.14262,7989.91125
865.08401,2689.41561,7989.81299
2377.64917,3206.85687,7986.37799
1163.39293,-3437.97816,7985.83615
-2534.79703,2604.04109,7983.76334
-989.60868,1176.9375,7983.33952
4108.18473,-2897.07667,7983.06983
3410.99407,2093.18191,7981.4215
1022.07596,2438.06714,7976.69514
-864.71913,-3353.79507,7976.13209
-2652.04804,4119.85253,7958.47484
4504.04218,-3798.16907,7957.20546
2559.84906,2922.6455,7951.09985
-284.50785,-3535.94581,7939.17541
3977.63767,1552.18879,7932.92831
2042.88705,1537.32501,7931.43639
278.18337,222.71224,7928.5038
4311.21694,-2437.2773,7925.71395
3759.5093,241.6646,7921.77025
-2989.22152,1187.21592,7918.73954
4632.66993,-3472.024,7912.03547
-2699.7836,-4781.59403,7893.23481
-965.80912,-1747.0532,7881.19502
5427.92129,-2570.75903,7871.3674
-609.71256,-3829.79463,7868.14334
3543.00436,-2879.93807,7861.15152
1740.60581,3864.89351,7858.26123
5699.42795,409.25224,7849.11633
3760.84439,3423.2613,7840.9941
3782.94816,1605.84899,7837.42489
4562.55523,-1927.30366,7823.2006
775.77959,3719.39568,7821.67664
-1275.18446,-1621.23103,7796.27686
-180.60118,575.7851,7789.15984
-4519.96448,261.25665,7788.70395
4626.04496,838.39995,7780.83672
3941.55592,1986.711,7761.21176
1667.67924,4766.48937,7761.01167
119.79344,-5687.18657,7752.23756
462.26199,4745.2744,7740.36893
4200.14,900.19845,7737.12761
-2361.7193,1042.33089,7709.34792
4371.61642,-2979.30471,7704.32208
905.1325,1354.26316,7703.68966
3492.09945,1240.2428,7701.84407
-909.82842,2876.85289,7693.97676
4299.10192,3119.53868,7689.60488
3488.49907,-3591.06431,7687.82362
1623.24179,-1916.58517,7663.43302
-2296.88121,-4670.2828,7658.11155
-1864.66029,2008.59422,7654.202
2295.16987,-2603.75772,7653.04627
5643.01653,-565.56812,7651.10803
1205.46658,-5236.15986,7646.78664
3178.24919,2941.36329,7628.488
3205.01986,-4349.29491,7625.96228
2350.39834,3066.43453,7623.90778
4338.70743,23.93403,7623.76203
4337.42508,-242.117,7620.68756
3262.22025,1418.62782,7613.27067
2559.60498,-1966.70986,7608.01047
-32.14172,3242.33748,7601.81316
4844.82921,1841.78414,7569.905
2357.3458,373.30281,7569.12974
3825.22642,-1146.53003,7556.74627
-1930.18015,1129.86588,7549.69772
-4290.90822,3921.46243,7544.08352
-3158.0133,3401.19812,7534.81785
5964.09277,2390.26224,7532.98393
-6089.73347,827.757,7515.95358
1295.69021,-4797.1876,7514.68038
4011.5889,-721.65226,7512.50526
-1710.09198,4701.04969,7492.52697
1586.20841,4277.47084,7492.2588
-4654.22323,-1838.61182,7491.32537
-1967.98561,2253.93471,7488.8737
5675.27571,-2801.01791,7487.48495
2122.33479,1567.33108,7485.14045
-1755.14139,-282.5672,7484.06553
1804.47978,3713.90553,7483.45651
5548.65565,-1990.91451,7480.08077
5453.78454,-2956.25959,7468.35704
4425.10715,1762.18672,7458.40475
274.73691,7.41914,7457.62441
1147.42117,-1885.5068,7431.07203
-725.89977,-4618.73701,7422.06803
-1717.58109,4505.41421,7420.63575
4509.9451,1246.06202,7419.87065
-3168.70968,4191.2965,7418.68849
-3705.42882,2618.44481,7418.08183
1063.59268,-2437.5699,7411.28542
4966.16705,2146.86127,7409.1951
5363.10952,758.26037,7404.73174
3221.05439,-1792.96809,7396.71703
3429.11718,-4934.43476,7388.87447
2549.84823,-214.5999,7381.55655
4254.57178,-753.51524,7374.42877
593.29592,-2321.04033,7372.47004
1017.19015,-2937.3277,7371.39143
-904.26345,-1173.95756,7371.32184
3125.63108,3589.28083,7368.46188
-1196.26923,-952.62253,7361.64102
-1434.78072,-5728.39183,7357.0762
3322.07183,-5741.92922,7350.08099
3084.56138,4027.80076,7347.22209
3593.0364,-3971.39552,7345.93235
3704.72533,1724.80793,7342.7872
-5011.75751,1935.87627,7333.43686
2606.10424,-2986.0743,7330.48565
-640.92203,2452.39432,7325.81216
1020.27683,2888.71527,7321.37409
-1130.5008,5557.37363,7319.25157
-1842.49172,-3367.31872,7318.9984
-2592.18266,3750.47258,7316.47733
650.12034,-1859.73832,7315.10945
-59.1193,-2193.30607,7311.46901
-1750.53321,3438.3179,7308.55335
784.71789,-937.50533,7305.81824
4152.1671,2786.18456,7301.45814
80.97194,-5975.15486,7300.04157
-2015.26218,-1374.52162,7295.2732
1834.41765,5696.47908,7292.78253
-3168.40433,890.8439,7291.61238
-4093.378,4750.33072,7289.32392
3570.36175,2906.55782,7288.39822
3466.95971,3238.49337,7287.4354
-906.41052,2675.26673,7283.98623
-3069.67721,-2856.11816,7282.59205
3215.2847,-1972.48534,7277.18697
3521.44277,-5554.18185,7270.99563
-634.45665,2616.42231,7269.41139
-2953.92696,2378.7796,7266.4956
2515.65285,1707.97008,7263.22543
4806.49524,-1568.13198,7263.13532
-6116.94074,-849.83295,7250.08806
6222.36165,2202.30241,7249.06657
2495.48363,629.38361,7249.00269
27.88758,1243.54488,7246.96666
1342.97744,4198.34258,7238.00867
3187.80069,-3436.43356,7234.99462
1833.40275,-84.54253,7233.47663
3835.87856,-455.47076,7229.441
-1723.62505,-3164.24696,7214.78178
4297.16776,2560.508,7205.88944
1718.18544,-47.36238,7205.22547
4344.04946,-2506.25218,7196.8528
4209.28452,-5344.01179,7193.95881
-4067.27623,-144.76023,7192.88935
1180.44908,5571.62832,7192.46122
-856.78688,-1266.7265,7192.15278
3619.45904,560.13758,7184.85772
2747.34074,-2441.12986,7178.3997
3319.60645,-2852.46099,7173.57162
4385.7121,94.09366,7167.50782
2680.56624,5365.92847,7166.95485
373.23393,5447.15314,7165.99346
3767.62125,743.96513,7165.8749
959.65906,-4016.95618,7158.52195
953.27237,674.41625,7151.67212
5623.07832,-1201.24007,7148.84698
3315.0389,-2924.90087,7146.46403
4787.75325,2677.65829,7146.3143
-602.92772,-4119.68798,7139.0474
-3704.41284,-2445.40825,7135.38927
4960.26619,1227.02434,7130.00187
660.76067,-3576.18808,7125.60694
4035.94224,-1569.4672,7119.85828
-1877.17115,-2431.02057,7117.5073
3951.43676,1787.90441,7115.75514
3012.90652,-2737.66711,7114.33709
2298.04295,-6346.00157,7110.84729
6337.46522,-72.79839,7108.74004
-3482.73985,1866.74764,7105.21228
-155.35501,-5552.00835,7093.18767
3033.53332,-1267.52053,7087.04717
5046.30562,-2342.99268,7085.71846
620.00117,-3082.35893,7085.70424
1018.16635,2482.90387,7084.53491
4246.27382,-311.41879,7083.325
2399.09301,2659.66206,7082.28139
4916.60341,1168.29643,7076.47215
5751.02774,-3601.85443,7075.9601
3238.28621,-735.222,7071.64106
2198.11787,-4707.04898,7068.14853
-1129.01859,-2818.12611,7067.87817
4896.20719,-713.02037,7059.39467
2811.98221,-6353.11643,7054.09602
3515.8334,178.47769,7043.23712
-3053.98163,508.14351,7041.77454
1804.10185,3187.84511,7040.66896
-5251.07097,4362.39614,7036.52189
2498.34412,2700.39975,7032.37101
4693.93681,-2343.09362,7030.19383
-3033.10107,5515.41589,7027.0993
1427.58009,-596.06325,7025.9437
3220.66616,1813.051,7023.41191
1396.08499,-3571.33759,7021.14623
-3338.6546,-5188.45033,7019.7745
469.4855,1519.93534,7016.16284
-3013.34672,156.28885,7011.91708
-612.09633,-3803.68474,7011.22817
-1971.42608,-1652.53685,7005.30502
324.04176,-824.47818,6986.31334
677.33319,-4880.97414,6983.45716
3356.10793,-6165.43261,6982.37662
-3613.77886,-3164.24763,6981.87494
-5664.24453,-2860.64962,6980.87793
5999.27329,-2449.9631,6979.20896
5094.172,-1519.247,6977.68272
4161.18248,5660.05376,6976.95884
-1510.24492,-336.12232,6973.2728
-5113.29645,921.17717,6972.80401
3350.6724,5095.83576,6967.01727
-3772.87885,4630.93406,6963.32072
-3463.71656,771.15933,6960.11042
4761.77128,-2435.58537,6952.70386
3217.161,711.57704,6950.90412
-2867.22193,2739.0298,6948.14753
6314.94285,-951.88181,6943.70628
-2588.73231,-5126.19041,6941.38892
3232.33859,1562.18666,6938.78349
232.28538,-861.18287,6935.88888
3004.7119,-1084.21488,6933.0961
441.87378,-2075.08112,6928.8358
3400.60924,-5580.52141,6927.95413
3942.03974,-2436.56638,6925.88494
3259.54783,-1854.90692,6923.49422
2025.85942,-724.55981,6919.6016
-1289.20736,-4720.79091,6918.85222
2175.24441,1212.31951,6918.40549
-172.83434,3625.80334,6918.01184
4633.03744,-4245.93202,6917.43384
-4150.77605,-274.29417,6908.85223
-4027.27124,-229.23176,6908.58445
1685.57926,1417.87542,6903.50864
5034.36889,321.02505,6899.5243
-2183.57617,3707.02534,6898.41831
2014.26019,4630.54482,6895.8084
3470.25989,-2121.03384,6889.01385
123.50026,1218.70389,6884.88601
4909.70048,-4393.66823,6877.02535
5530.19725,-664.31871,6876.79256
5112.32287,3731.37473,6876.4021
2536.552,3046.97319,6875.31594
5159.06302,1318.30437,6874.6234
-6285.21311,830.05777,6866.65609
-2016.62466,-5746.70914,6861.23601
-3932.18237,687.3304,6859.56836
-5660.75451,-4127.15471,6858.52309
-1676.10591,-3899.44343,6857.21724
-602.90375,449.13821,6855.45122
6218.30656,-2611.1323,6853.48673
2425.94618,-666.03874,6852.04496
154.1783,2019.98974,6849.54572
6461.98434,585.02876,6848.3676
1632.17653,2319.45194,6842.9395
3640.42497,-983.15957,6842.21159
3388.94446,50.70187,6839.88975
2189.06801,-445.8619,6838.59266
3582.04809,707.22454,6838.22401
-5494.97721,-2388.94875,6836.86885
4806.31061,-5129.13337,6834.34385
-246.66019,964.38405,6824.33525
3123.53254,-3295.26706,6824.29197
6504.74172,-2331.34385,6820.02673
-583.95116,899.78966,6812.62131
5176.80598,2829.21241,6808.7062
4252.34887,4442.67001,6807.95218
4188.77803,-5678.39794,6806.38099
-857.98001,-1112.08516,6800.91459
-1450.22506,-3827.10765,6799.87158
3871.01884,-2219.83584,6796.0071
3427.0038,-2467.22597,6794.73363
2599.92136,-746.36308,6779.57916
5689.87392,-1696.05753,6775.76319
3266.98514,-3591.46421,6772.93377
-4046.75166,4013.9721,6769.52773
